matrix, taco_times, finch_times, finch_gallop_times, finch_lead_times, finch_follow_times, finch_vbl_times
HB/orsirr_1, 7.4595e-5, 7.7399e-5, 4.7114e-5, 5.0828e-5, 6.1252e-5, 6.0267e-5
HB/jagmesh2, 6.564900000000001e-5, 5.7883e-5, 4.5863e-5, 4.0401e-5, 5.8841e-5, 4.9378e-5
HB/lshp1009, 6.0472000000000006e-5, 6.0408e-5, 4.6954e-5, 4.15e-5, 7.546e-5, 4.3513e-5
HB/west2021, 9.907400000000001e-5, 9.6354e-5, 7.9435e-5, 6.5327e-5, 0.000101276, 7.6677e-5
HB/jagmesh3, 7.053800000000001e-5, 6.5105e-5, 5.0797e-5, 4.4159e-5, 6.6532e-5, 3.9898e-5
HB/jagmesh7, 7.419700000000001e-5, 6.7827e-5, 5.3624e-5, 4.4727e-5, 7.0183e-5, 4.7685e-5
HB/jagmesh8, 7.3718e-5, 6.8278e-5, 5.4274e-5, 4.5919e-5, 7.0173e-5, 4.8993e-5
HB/mahindas, 8.0257e-5, 7.7637e-5, 4.4695e-5, 4.8563e-5, 5.6948e-5, 4.7545e-5
HB/jagmesh5, 7.8708e-5, 7.0968e-5, 5.5201e-5, 4.6995e-5, 7.2972e-5, 4.9212e-5
HB/dwt_1007, 6.524700000000001e-5, 5.395e-5, 4.5912e-5, 4.0177e-5, 5.4089e-5, 4.6047e-5
HB/nnc1374, 8.0827e-5, 7.2943e-5, 6.0481e-5, 5.5445e-5, 7.4036e-5, 7.3572e-5
HB/dwt_1005, 8.319100000000001e-5, 9.2464e-5, 6.1503e-5, 5.9421e-5, 7.5593e-5, 4.9756e-5
HB/lshp1270, 7.6117e-5, 7.3698e-5, 5.9711e-5, 5.0128e-5, 7.5264e-5, 5.2677e-5
HB/jagmesh6, 7.9597e-5, 7.2048e-5, 6.1896e-5, 4.9604e-5, 7.9333e-5, 5.2303e-5
